country;population;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol15;newCol16;newCol17;newCol18;newCol
ethiopia;96633458;7,9221E7;;;;;8,254484E7;7,7431E7;;;;7,3053286E7;;8,4975606E7;;6,7673031E7;7,7431E7;;;8,5237338E7;7,9221E7
federated states micronesia;101351000;;;;;;107665,0;110000,0;;;;108105,0;;;;;110000,0;;;;107665,0
fiji;858038;;;;;;931741,0;848000,0;;;;893354,0;;854098,0;;;848000,0;;;944720,0;931741,0
finland;5462939;5366100,0;5149242,0;5231372,0;;;5244749,0;5,2490003E7;;5259250,0;;5223442,0;;5362610,0;5246100,0;;5,2490003E7;;;5250275,0;5366100,0
france;65959000;6,5447374E7;5,8804944E7;6,2752136E7;;;6,4057792E7;6,0496E7;;6,5102719E7;;6,0656178E7;;6,4876618E7;6,0873E7;;6,0496E7;;5,8905E7;6,4057792E7;6,5447374E7
gabon;1711000;;;;;;1485832,0;1384000,0;;;;1394307,0;;1501266,0;;1233353,0;1384000,0;;;1514993,0;1485832,0
gambia;1882450;;;;;;;;;;;;;;;;;;;;
georgia;4490500;4436000,0;5108527,0;4661473,0;;;4630841,0;4474000,0;;;;4677401,0;;4428544,0;;;4474000,0;;;;4436000,0
germany;80996685;8,17576E7;8,2079454E7;8,2422299E7;;;8,2369552E7;8,2689E7;;8,1471834E7;;8,243139E7;;8,163558E7;8,2400996E7;;8,2689E7;;8,2727E7;8,2329758E7;8,17576E7
ghana;27043093;2,4333E7;;;;;2,3382848E7;2,2113E7;;;;2,1946247E7;;2,4332755E7;;2,0244154E7;2,2113E7;;2,152E7;;2,4333E7
greece;11123034;1,1306183E7;1,0662138E7;1,0688058E7;;;1,0722816E7;1,112E7;;1,0760136E7;;1,0668354E7;;1,132917E7;1,070629E7;;1,112E7;;;1,0737428E7;1,1306183E7
grenada;103328;;;89703,0;;;90343,0;103000,0;;108419,0;;89502,0;;104342,0;89971,0;;103000,0;;;;89703,0
guatemala;15806675;1,4377E7;1,200758E7;1,2291545E7;;;1,3002206E7;1,2599E7;;;;1,2013907E7;;1,4376881E7;;;1,2599E7;;1,3453E7;1,3276517E7;1,4377E7
guinea;10628972;1,0324E7;;;;;9806509,0;9402000,0;;;;9452670,0;;1,0323755E7;;7775065,0;9402000,0;;;1,0057975E7;1,0324E7
guinea bissau;1746000;;;;;;1503182,0;1586000,0;;;;1413446,0;;1647380,0;;1345479,0;1586000,0;;;1533964,0;1503182,0
guyana;784894;;;767245,0;;;770794,0;751000,0;;;;765283,0;;761442,0;;;751000,0;;;752940,0;767245,0
haiti;10745665;1,0188E7;;8308504,0;;;8924553,0;8528000,0;;;;8121622,0;;9958175,0;;;8528000,0;;;9035536,0;1,0188E7
honduras;8555072;7616000,0;;7326496,0;;;7639327,0;7205000,0;;;;7167902,0;;7615584,0;;;7205000,0;;7288000,0;7833696,0;7616000,0
hungary;9879000;1,0013628E7;1,0208127E7;9981334,0;;;9930915,0;1,0098E7;;9976062,0;;1,0006835E7;;1,000497E7;1,0064E7;;1,0098E7;;1,0402E7;9905596,0;1,0013628E7
iceland;32705;4459300,0;3619480,0;299388,0;;;304367,0;295000,0;;;;296737,0;;4451310,0;;;295000,0;;5467000,0;4203200,0;4459300,0
india;1249030000;1,184639E9;9,84003683E8;1,095351995E9;;;1,147995904E9;1,103371E9;;1,147995904E9;;1,080264388E9;;1,170938E9;1,094583E9;;1,103371E9;;1,098096E9;1,156897766E9;1,184639E9
indonesia;252164800;2,341814E8;2,1294181E8;2,45452739E8;;;2,37512352E8;2,22781E8;;2,45613043E8;;2,41973879E8;;2,32516771E8;;;2,22781E8;;2,04229E8;2,40271522E8;2,341814E8
iran;80840713;7,5078E7;6,8959931E7;6,8688433E7;;;6,5875224E7;6,9515E7;;7,789122E7;;6,801786E7;;;6,825109E7;;6,9515E7;;;;7,5078E7
iraq;36004552;3,1467E7;;2,6783383E7;;;2,822118E7;2,8807E7;;;;2,6074906E7;;3,2297391E7;;;2,8807E7;;;2,8945569E7;3,1467E7
israel;8222700;7602400,0;5643966,0;6352117,0;;;7112359,0;6725000,0;;7473052,0;;6276883,0;;7577000,0;6426679,0;;6725000,0;;;7233701,0;7602400,0
italy;60762320;6,0340328E7;5,6782748E7;5,8133509E7;;;5,814532E7;5,8093E7;;;;5,8103033E7;;6,057453E7;;;5,8093E7;;5,9725E7;5,8126212E7;6,0340328E7
ivory coast;23202000;;;;;;;;;;;;;;;;;;;;
jamaica;2717991;2730000,0;2634678,0;2758124,0;;;2804332,0;2651000,0;;2868380,0;;2735520,0;;2712091,0;2780132,0;;2651000,0;;;2825928,0;2730000,0
japan;127130000;1,2738E8;1,25931533E8;1,27463611E8;;;1,27288416E8;1,28085E8;;1,26475664E8;;1,27417244E8;;1,2738E8;1,27433494E8;;1,28085E8;;;1,27078679E8;1,2738E8
jordan;6629420;6472000,0;4434978,0;5906760,0;;;6198677,0;5703000,0;;6508271,0;;5759732,0;;6093000,0;6053193,0;;5703000,0;;;6269285,0;6472000,0
kazakhstan;17309000;1,6197E7;;1,5233244E7;;;1,5340533E7;1,4825E7;;;;1,5185844E7;;1,631605E7;;;1,4825E7;;;1,5399437E7;1,6197E7
kenya;45546000;4,0863E7;;;;;3,795384E7;3,4256E7;;;;3,382959E7;;4,08629E7;;3,1138735E7;3,4256E7;;3,2296E7;3,9002772E7;4,0863E7
kiribati;106461;;;;;;110356,0;99000,0;;;;103092,0;;99547,0;;;99000,0;;;;110356,0
kosovo;1815606;;;;;;2126708,0;;;;;;;1815000,0;;;;;;;2126708,0
kuwait;3065850;3051000,0;1913285,0;2418393,0;;;2596799,0;2687000,0;;2595628,0;;2335648,0;;2863000,0;2505559,0;;2687000,0;;;2692526,0;3051000,0
kyrgyzstan;5824000;5550000,0;;5213898,0;;;5356869,0;5264000,0;;;;5146281,0;;;;;5264000,0;;;5431747,0;5550000,0
laos;6693300;6436000,0;;6368481,0;;;6677534,0;5924000,0;;;;6217141,0;;;;;5924000,0;;;6834345,0;6436000,0
latvia;1994300;2237800,0;2385396,0;2274735,0;;;2245423,0;2307000,0;;;;2290237,0;;2242830,0;;;2307000,0;;;2231503,0;2237800,0
lebanon;4966000;4255000,0;3505794,0;3874050,0;;;3971941,0;3577000,0;;4143101,0;;3826018,0;;4254583,0;3925502,0;;3577000,0;;null;4017095,0;4255000,0
lesotho;2098000;2084000,0;;;;;2128180,0;1795000,0;;;;2031348,0;;2084182,0;;2207954,0;1795000,0;;;2130819,0;2084000,0
liberia;4397000;3476608,0;;;;;3334587,0;3283000,0;;;;2900269,0;;4101767,0;;3288198,0;3283000,0;;;3441790,0;3476608,0
libya;6253000;6546000,0;5690727,0;5900754,0;;;6173579,0;5853000,0;;6597960,0;;5765563,0;;;6036914,0;5368585,0;5853000,0;;;6324357,0;6546000,0
liechtenstein;37132;;;33987,0;;;34498,0;35000,0;;;;33717,0;;;;;35000,0;;;;33987,0
lithuania;2939431;3329227,0;3600158,0;3585906,0;;;3565205,0;3431000,0;;3535547,0;;3596617,0;;3318970,0;;;3431000,0;;3457000,0;3555179,0;3329227,0
luxembourg;549700;;;474413,0;;;486006,0;465000,0;;503302,0;;468571,0;;506640,0;480222,0;;465000,0;;;491775,0;474413,0
macedonia;2062294;2048620,0;;2050554,0;;;2061315,0;;;;;2045262,0;;;;;;;;2066718,0;2048620,0
madagascar;21263403;2,1146E7;;;;;2,0042552E7;1,8606E7;;;;1,8040341E7;;2,0146442E7;;1,6473477E7;1,8606E7;;2,0072E7;2,0653556E7;2,1146E7
malawi;16829000;1,5692E7;;;;;1,3931831E7;1,2884E7;;;;1,2707464E7;;1,4900841E7;;1,0701824E7;1,2884E7;;1,5081E7;1,5028757E7;1,5692E7
malaysia;30263000;2,83067E7;2,0932901E7;2,4385858E7;;;2,5274132E7;2,5347E7;;2,8728607E7;;2,3953136E7;;2,791399E7;2,4821286E7;;2,5347E7;;;2,5715819E7;2,83067E7
maldives;317280;;;359008,0;;;385925,0;329000,0;;394999,0;;349106,0;;313920,0;369031,0;;329000,0;;;396334,0;359008,0
mali;15768000;1,4517176E7;;;;;1,2324029E7;1,3518E7;;;;1,1415261E7;;1,5369809E7;;1,134048E7;1,3518E7;;;1,3443225E7;1,4517176E7
malta;416055;;;400214,0;;;403532,0;402000,0;;408333,0;;398534,0;;;401880,0;;402000,0;;;405165,0;400214,0
