country;currency;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol
nepal;nepalese rupee;;rupee;;;;;nepalese rupee;nepalese rupee;;;nepalese rupee;rupee
netherlands;euro;;euro;netherlands;;;;netherlands guilder;netherlands guilder;eur;euro (eur);euro;euro
new zealand;nzd;;dollar;new zealand;;;;new zealand dollar;new zealand dollar;;;new zealand dollar;dollar
nicaragua;cordoba oro;;cordoba;;;;;nicaragua gold cordoba;cordoba oro;;;cordoba oro;cordoba
niger;cfa franc bceao;;franc;;;;;;cfa franc bceao;;;cfa franc bceao;franc
nigeria;naira;;;;;;;nigerian naira;naira;ngn;;naira;nigerian naira
niue;new zealand dollar;;;;;;;;new zealand dollar;;;new zealand dollar;new zealand dollar
norway;nok;;krone;norway;;;;norwegian krone;norwegian krone;nok;euro (eur);norwegian krone;krone
pakistan;rupee;;rupee;pakistan;;;;pakistani rupee;pakistan rupee;;;;rupee
palau;usd;;;;;;;;us dollar;;;;us dollar
palestine;500 nis 100 us $;;;;;;;;;nis;;;nis
panama;pab;;;;;;;panamanian balboa;balboa;pab;;;panamanian balboa
papua new guinea;kina;;kina;;;;;papua new guinean kina;kina;;;;kina
paraguay;guarani;;guarani;paraguay;;;;paraguayan guarani;guarani;;;;guarani
peru;pen;;inti;peru;;;;peruvian nuevo sol;nuevo sol;pen;;;inti
philippines;peso;;peso;philippines;;;;philippine peso;philippine peso;php;;;peso
poland;pln;;zloty;poland;;;;polish zloty;zloty;plz;polish zloty (pln);;zloty
portugal;eur;;euro;portugal;;;;portuguese escudo;portuguese escudo;eur;;;euro
qatar;rial;;riyal;qatar;;;;qatari rial;qatari rial;;;;riyal
romania;leu;;leu;;;;;new romanian leu;leu;ron;;;leu
russia;25 63;;;;;;;;;rub;ruble (rub);;rub
rwanda;rwandan franc;;;;;;;rwandan franc;rwanda franc;;;;rwandan franc
saint kitts nevis;east caribbean dollar;;;;;;;;;;;;
saint lucia;east caribbean dollar;;;;;;;;east caribbean dollar;;;;east caribbean dollar
saint vincent grenadines;east caribbean dollar;;;;;;;;;;;;
samoa;tala;;;;;;;samoan tala;tala;;;;samoan tala
san marino;eur;;;;;;;;italian lira;;;;italian lira
saudi arabia;riyal;;riyal;saudi arabia;;;;saudi arabian riyal;saudi riyal;;;;riyal
senegal;franc;;franc;;;;;;cfa franc bceao;xof;;;franc
serbia;59 66;;dinar;;;;;serbian dinar;;csd;serbian dinar (rsd);;dinar
seychelles;seychelles rupee;;rupee;;;;;seychelles rupee;seychelles rupee;;;;rupee
sierra leone;leone;;leone;;;;;sierra leonean leone;leone;;;;leone
singapore;sgd;;dollar;singapore;;;;singapore dollar;singapore dollar;sgd;;;dollar
slovakia;skk eur skk eur;;koruna;slovakia;;;;slovak koruna;slovak koruna;;euro (eur);;koruna
slovenia;eur;;euro;slovenia;;;;slovenian tolar;tolar;eur;;;euro
solomon islands;sbd;;dollar;;;;;solomon islands dollar;solomon islands dollar;;;;dollar
somalia;shilling;;shilling;;;;;;somali shilling;;;;shilling
south africa;rand;;rand;south africa;;;;south african rand;rand;zar;;;rand
south korea;won;;won;south korea;;;;;;krw;;;won
spain;euro;;euro;spain;;;;spanish peseta;spanish peseta;eur;euro (eur);;euro
sri lanka;sri lanka rupee;;rupee;;;;;sri lanka rupee;sri lanka rupee;;;;rupee
sudan;sudanese dinar;;dinar;;;;;sudanese pound;sudanese dinar;;;;dinar
suriname;guilder;;guilder;;;;;surinam dollar;surinam guilder;;;;guilder
swaziland;lilangeni;;;;;;;swaziland lilangeni;lilangeni;;;;swaziland lilangeni
sweden;sek;;krona;sweden;;;;swedish krona;swedish krona;sek;swedish krona (sek);;krona
switzerland;chf;;franc;switzerland;;;;swiss franc;swiss franc;chf;swiss franc (chf);;franc
syria;syp;;pound;;;;;;;syp;;;pound
taiwan;dollar;;dollar;taiwan;;;;;;;;;dollar
tajikistan;somoni;;;;;;;;somoni;;;;somoni
tanzania;shilling;;shilling;;;;;tanzanian shilling;;;;;shilling
