country;area;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol
swaziland;17364.0;;17363.0;17203.0;17363.0;6704.0;17203.0;17363.0
sweden;449964.0;173732.0;449964.0;;;173732.0;;173732.0
switzerland;41290.0;15942.15;41290.0;41285.0;;15940.0;39770.0;15942.15
syria;185180.0;71498.37;185180.0;184050.0;;71498.0;184050.0;71498.37
taiwan;35980.0;;35980.0;32260.0;;;32260.0;35980.0
tajikistan;143100.0;55251.2;143100.0;;;55250.0;;55251.2
tanzania;945087.0;364899.98;945087.0;;945087.0;364900.0;;364899.98
thailand;514000.0;198456.43;514000.0;511770.0;;198114.0;511770.0;198456.43
togo;56785.0;21924.8;56785.0;;56785.0;21925.0;;21924.8
tonga;748.0;;748.0;718.0;;289.0;718.0;748.0
transnistria;4163.0;;;;;;;
trinidad tobago;5128.0;;;;;;;
tunisia;163610.0;63170.15;163610.0;;163610.0;63482.0;;63170.15
turkey;780580.0;301383.5;780580.0;780580.0;;300948.0;770760.0;301383.5
turkmenistan;488100.0;188456.39;488100.0;;;188460.0;;188456.39
tuvalu;26.0;;26.0;;;10.0;;26.0
uganda;236040.0;91135.52;236040.0;;236040.0;93104.0;;91135.52
ukraine;603700.0;233089.78;603700.0;;;233090.0;;233089.78
united arab emirates;83600.0;32000.13;83600.0;;;30000.0;;32000.13
united kingdom;244820.0;94525.49;244820.0;241590.0;;93341.0;241590.0;94525.49
united states;9629091.0;;;9161923.0;;;9161923.0;9161923.0
uruguay;176220.0;68031.17;176220.0;;;68037.0;;68031.17
uzbekistan;447400.0;172742.03;447400.0;;;172750.0;;172742.03
vanuatu;12200.0;;12200.0;12200.0;;4707.0;12200.0;12200.0
vatican city;0.44;;;;;1.0;;1.0
venezuela;912050.0;352144.33;912050.0;;;352144.0;882050.0;352144.33
vietnam;329560.0;127243.78;329560.0;;;127844.0;;127243.78
yemen;527970.0;203850.27;527970.0;;;207285.0;;203850.27
zambia;752614.0;290585.77;752614.0;10000.0;11300.0;290586.0;;290585.77
zimbabwe;390757.0;150803.72;390580.0;;390580.0;150873.0;;150803.72
